,Score,Text
0,1,I buy vitality dog food product find good quality product look like stew process meat smell labrador finicky appreciate product
2,1,confection century light pillowy citrus gelatin nut case filbert cut tiny square liberally coat powdered sugar tiny mouthful heaven chewy flavorful I highly recommend yummy treat familiar story lewis lion witch wardrobe treat seduce edmund sell brother sister witch
4,1,great taffy great price wide assortment yummy taffy delivery quick taffy lover deal
5,1,I wild hair taffy order pound bag taffy enjoyable flavor watermelon root beer melon peppermint grape etc complaint bit red black licorice flavor piece particular favorite I kid husband week I recommend brand taffy delightful treat
6,1,saltwater taffy great flavor soft chewy candy individually wrap candy stick happen expensive version fralinger highly recommend candy I serve beach theme party love
7,1,taffy good soft chewy flavor amazing I definitely recommend buy satisfy
8,1,right I sprout cat eat grass love I rotate wheatgrass rye
9,1,healthy dog food good digestion good small puppy dog eat require feed
10,1,I know cactus tequila unique combination ingredient flavour hot sauce kind pick bottle trip bring home totally blow away realize simply find city magic internet case sauce ecstatic love hot sauce I mean love hot sauce want sauce tastelessly burn throat grab bottle tequila picante gourmet de inclan realize taste want use personal incredible service
11,1,boy need lose weight I food floor chubby guy protein rich product food high skinny boy jump high food sit stale food chubby boy lose ounce week
13,1,good flavor come securely pack fresh delicious I love twizzler
14,1,strawberry twizzler guilty pleasure yummy pound son
15,1,daughter love twizzler shipment pound hit spot exactly expect package strawberry twizzler
17,1,I satisfy twizzler purchase I share enjoy I definitely order
18,1,twizzler strawberry childhood favorite candy lancaster pennsylvania y s candy inc old confectionery firm united state subsidiary hershey company company establish young smylie apple licorice twist green color blue raspberry licorice twist I like br dry cool place recommend fridge accord guinness book record long licorice twist measure foot m weight pound kg y s candy inc record break twist guinness world record july product kosher thank
19,1,candy deliver fast purchase reasonable price I home bind unable store perfect I
20,1,husband twizzler addict buy time amazon government employee live overseas country assign fresh tasty pack arrive timely manner
21,1,I buy husband currently overseas love apparently staff like generous twizzler ounce bag worth price gp product strawberry ounce bag pack
22,1,I remember buy candy kid quality drop year superb product disappoint
23,1,I love candy weight watcher I cut crave
24,1,I live yr I miss twizzler I visit visit I I stock I mexico faithful buyer I able buy right
25,1,product receive gp product strawberry ounce bag pack
27,1,I glad amazon carry battery I hard time find unique size I need garage door deal price
28,1,I mum diabetic need watch sugar intake father simply choose limit unnecessary sugar intake sweet tooth love toffee guess sugar free great eat pretty guilt free I impress I order w dark chocolate office I eat instead snack sugary excellent
